Date,Open,High,Low,Close,Adj Close,Volume
2016-10-27,18.177500,18.212500,17.597500,17.670000,17.416187,38866400
2016-10-28,17.754999,18.025000,17.607500,17.639999,17.386621,29085600
2016-10-31,17.697500,17.907499,17.687500,17.790001,17.534472,25238800
2016-11-01,17.855000,17.952499,17.072500,17.262501,17.014545,47322400
2016-11-02,17.395000,17.629999,17.160000,17.190001,16.943085,29584800
2016-11-03,17.270000,17.285000,16.660000,16.990000,16.745956,30966400
2016-11-04,16.877501,17.182501,16.645000,16.892500,16.649853,32878000
2016-11-07,17.387501,17.930000,17.375000,17.817499,17.561563,48758000
2016-11-08,17.885000,17.942499,17.625000,17.790001,17.534472,42988400
2016-11-09,17.307501,17.725000,17.180000,17.490000,17.238771,45653200
2016-11-10,17.872499,17.875000,16.690001,16.942499,16.699137,86928000
2016-11-11,19.877501,22.192499,19.625000,21.992500,21.676601,217534400
2016-11-14,22.022499,22.047501,20.905001,20.910000,20.609653,134879600
2016-11-15,21.072500,21.862499,20.982500,21.547501,21.237995,62609200
2016-11-16,21.834999,23.139999,21.587500,22.907499,22.578461,98798400
2016-11-17,23.077499,23.697500,22.662500,23.097500,22.765728,83298800
2016-11-18,23.097500,23.582500,22.950001,23.340000,23.004744,57606000
2016-11-21,23.522499,23.587500,23.100000,23.245001,22.911106,43643600
2016-11-22,23.325001,23.434999,23.094999,23.412500,23.076204,33036800
2016-11-23,23.430000,23.812500,23.192499,23.492500,23.189724,44323600
2016-11-25,23.605000,23.775000,23.352501,23.540001,23.236610,19556400
2016-11-28,23.467501,23.684999,23.400000,23.527500,23.224274,27873600
2016-11-29,23.500000,23.610001,23.132500,23.312500,23.012043,44456800
2016-11-30,23.400000,23.540001,23.025000,23.049999,22.752924,44050000
2016-12-01,23.025000,23.042500,21.192499,21.910000,21.627621,103552400
2016-12-02,21.562500,22.200001,21.280001,22.112499,21.827509,47829200
2016-12-05,22.497499,23.152500,22.250000,22.969999,22.673956,60228400
2016-12-06,23.052500,23.432501,22.892500,23.347500,23.046593,49879600
2016-12-07,23.209999,23.825001,23.025000,23.767500,23.461180,48080400
2016-12-08,23.797501,24.155001,23.262501,23.370001,23.068806,38154400
2016-12-09,23.549999,23.567499,22.677500,22.955000,22.659153,38231200
